ID,module name,lat,long,elevation
F45EAB08F8CD',H1.1',40.734375,-111.872193,1.30675
A81B6A641C8B',H1.1',40.690363,-111.790007,1.5114748
9884E3206135',H1.1',40.789038,-111.920908,1.287
F45EAB95EA05',H1.1',40.694947,-111.818953,1.417083237
D0B5C2F31E1F',H1.1',40.772033,-111.861277,1.3835404
9884E320987A',H1.1',40.74477,-111.84661,1.401376
F45EAB9C02DF',H1.1',40.685497,-111.839642,1.364849879
F45EAB95EA75',H1.1',40.749635,-111.802902,1.577338262
F45EABA254AA',H1.1',40.735998,-111.853078,1.357404204
606405CA407A',H1.1',40.74501,-111.808657,1.544956506
A81B6A646611',H1.1',40.646473,-111.853175,1.336
606405A9F0C5',H1.1',40.74737,-111.867793,1.312014246
F45EABA335D0',H1.1',40.741,-111.811313,1.5356464
A81B6A7A5B06',H1.1',40.780578,-111.746597,1.768238941
